"","var1","var2","cor","p","case","participant_id"
"224","pm1num_outdoor","pm1num_indoor",0.089,2.17e-44,"hepa","44241"
"225","pm1_ratio","pm1num_indoor",0.64,0,"hepa","44241"
"226","pm25_ratio","pm1num_indoor",0.61,0,"hepa","44241"
"227","pm10_ratio","pm1num_indoor",0.37,0,"hepa","44241"
"228","pm1num_ratio","pm1num_indoor",0.46,0,"hepa","44241"
"229","pm1_indoor","pm1num_outdoor",0.053,1.23e-16,"hepa","44241"
"230","pm1_outdoor","pm1num_outdoor",0.42,0,"hepa","44241"
"231","pm25_indoor","pm1num_outdoor",0.036,2.19e-08,"hepa","44241"
"232","pm25_outdoor","pm1num_outdoor",0.36,0,"hepa","44241"
"233","pm10_indoor","pm1num_outdoor",0.019,0.00274,"hepa","44241"
"234","pm10_outdoor","pm1num_outdoor",0.079,2.13e-35,"hepa","44241"
"235","pm1num_indoor","pm1num_outdoor",0.089,2.17e-44,"hepa","44241"
"236","pm1num_outdoor","pm1num_outdoor",1,0,"hepa","44241"
"237","pm1_ratio","pm1num_outdoor",-0.096,4.56e-52,"hepa","44241"
"238","pm25_ratio","pm1num_outdoor",-0.076,6.33e-33,"hepa","44241"
"239","pm10_ratio","pm1num_outdoor",-0.034,8.48e-08,"hepa","44241"
"240","pm1num_ratio","pm1num_outdoor",-0.11,3.97e-73,"hepa","44241"
"241","pm1_indoor","pm1_ratio",0.63,0,"hepa","44241"
"242","pm1_outdoor","pm1_ratio",-0.11,6.42e-66,"hepa","44241"
"243","pm25_indoor","pm1_ratio",0.42,0,"hepa","44241"
"244","pm25_outdoor","pm1_ratio",-0.1,6.46e-60,"hepa","44241"
"245","pm10_indoor","pm1_ratio",0.093,1.15e-48,"hepa","44241"
"246","pm10_outdoor","pm1_ratio",-0.022,0.000691,"hepa","44241"
"247","pm1num_indoor","pm1_ratio",0.64,0,"hepa","44241"
"248","pm1num_outdoor","pm1_ratio",-0.096,4.56e-52,"hepa","44241"
"249","pm1_ratio","pm1_ratio",1,0,"hepa","44241"
"250","pm25_ratio","pm1_ratio",0.91,0,"hepa","44241"
"251","pm10_ratio","pm1_ratio",0.45,0,"hepa","44241"
"252","pm1num_ratio","pm1_ratio",0.8,0,"hepa","44241"
"253","pm1_indoor","pm25_ratio",0.57,0,"hepa","44241"
"254","pm1_outdoor","pm25_ratio",-0.071,2.64e-29,"hepa","44241"
"255","pm25_indoor","pm25_ratio",0.55,0,"hepa","44241"
"256","pm25_outdoor","pm25_ratio",-0.079,3.27e-35,"hepa","44241"
"257","pm10_indoor","pm25_ratio",0.27,0,"hepa","44241"
"258","pm10_outdoor","pm25_ratio",-0.019,0.00233,"hepa","44241"
"259","pm1num_indoor","pm25_ratio",0.61,0,"hepa","44241"
"260","pm1num_outdoor","pm25_ratio",-0.076,6.33e-33,"hepa","44241"
"261","pm1_ratio","pm25_ratio",0.91,0,"hepa","44241"
"262","pm25_ratio","pm25_ratio",1,0,"hepa","44241"
"263","pm10_ratio","pm25_ratio",0.64,0,"hepa","44241"
"264","pm1num_ratio","pm25_ratio",0.88,0,"hepa","44241"
"265","pm1_indoor","pm10_ratio",0.41,0,"hepa","44241"
"266","pm1_outdoor","pm10_ratio",-0.0044,0.49,"hepa","44241"
"267","pm25_indoor","pm10_ratio",0.75,0,"hepa","44241"
"268","pm25_outdoor","pm10_ratio",-0.021,0.000792,"hepa","44241"
"269","pm10_indoor","pm10_ratio",0.82,0,"hepa","44241"
"270","pm10_outdoor","pm10_ratio",-0.0099,0.118,"hepa","44241"
"271","pm1num_indoor","pm10_ratio",0.37,0,"hepa","44241"
"272","pm1num_outdoor","pm10_ratio",-0.034,8.48e-08,"hepa","44241"
"273","pm1_ratio","pm10_ratio",0.45,0,"hepa","44241"
"274","pm25_ratio","pm10_ratio",0.64,0,"hepa","44241"
"275","pm10_ratio","pm10_ratio",1,0,"hepa","44241"
"276","pm1num_ratio","pm10_ratio",0.46,0,"hepa","44241"
"277","pm1_indoor","pm1num_ratio",0.35,0,"hepa","44241"
"278","pm1_outdoor","pm1num_ratio",-0.083,3.98e-39,"hepa","44241"
"279","pm25_indoor","pm1num_ratio",0.27,0,"hepa","44241"
"280","pm25_outdoor","pm1num_ratio",-0.087,6.93e-43,"hepa","44241"
"281","pm10_indoor","pm1num_ratio",0.06,5.38e-21,"hepa","44241"
"282","pm10_outdoor","pm1num_ratio",-0.023,0.000327,"hepa","44241"
"283","pm1num_indoor","pm1num_ratio",0.46,0,"hepa","44241"
"284","pm1num_outdoor","pm1num_ratio",-0.11,3.97e-73,"hepa","44241"
"285","pm1_ratio","pm1num_ratio",0.8,0,"hepa","44241"
"286","pm25_ratio","pm1num_ratio",0.88,0,"hepa","44241"
"287","pm10_ratio","pm1num_ratio",0.46,0,"hepa","44241"
"288","pm1num_ratio","pm1num_ratio",1,0,"hepa","44241"
"289","pm1_indoor","pm1_indoor",1,0,"sham","41181"
"290","pm1_outdoor","pm1_indoor",0.2,1.18e-62,"sham","41181"
"291","pm25_indoor","pm1_indoor",0.91,0,"sham","41181"
"292","pm25_outdoor","pm1_indoor",0.18,2.34e-52,"sham","41181"
"293","pm10_indoor","pm1_indoor",0.18,5.79e-53,"sham","41181"
"294","pm10_outdoor","pm1_indoor",0.0035,0.775,"sham","41181"
"295","pm1num_indoor","pm1_indoor",0.76,0,"sham","41181"
"296","pm1num_outdoor","pm1_indoor",0.11,3.25e-19,"sham","41181"
"297","pm1_ratio","pm1_indoor",0.6,0,"sham","41181"
"298","pm25_ratio","pm1_indoor",0.6,0,"sham","41181"
"299","pm10_ratio","pm1_indoor",0.072,3.71e-09,"sham","41181"
"300","pm1num_ratio","pm1_indoor",0.45,0,"sham","41181"
"301","pm1_indoor","pm1_outdoor",0.2,1.18e-62,"sham","41181"
"302","pm1_outdoor","pm1_outdoor",1,0,"sham","41181"
