"","deployment","room","participant_id","environment","peak_idx","valley_idx_b","valley_idx_a","peak_hgt","k_val","conv_tol","cumm_pm","hepa","peak_width"
"147","RH","classroom","business_s2","indoor",1105,1093,1129,2.3527,-0.0207787229564407,3.91971384042788e-06,50.18675,TRUE,36
"148","RH","classroom","business_s2","indoor",1137,1121,1153,5.4736,-0.0259843041876276,9.89863331883416e-06,76.9947,FALSE,32
"149","RH","classroom","business_s2","indoor",1165,1129,1189,11.9273,-0.133480533913759,1.80876971557547e-06,98.3944,TRUE,60
"150","RH","classroom","business_s2","indoor",1217,1185,1249,5.9626,-0.0232986757665048,2.52103109688682e-06,142.5667,FALSE,64
"151","RH","classroom","business_s2","indoor",1329,1297,1377,7.6015,-0.021099595909988,1.55812827567477e-06,214.63885,FALSE,80
"152","RH","classroom","business_s2","indoor",1393,1377,1441,4.3509,-0.0115013257198061,8.13741083719255e-07,175.92035,FALSE,64
"153","RH","classroom","business_s2","indoor",1457,1441,1473,3.5545,-0.0131998125651499,3.55397983288517e-07,54.65075,FALSE,32
"154","RH","classroom","business_s2","indoor",1537,1521,1553,3.859,-0.0217484499132138,3.96804211386694e-06,55.862,FALSE,32
"155","RH","classroom","business_s2","indoor",1601,1553,1617,3.9338,-0.00627254037764127,6.85231998279198e-08,63.6786,FALSE,64
"156","RH","classroom","business_s2","indoor",1681,1617,1683,6.505,-0.309611504772223,1.87609230621744e-06,14.8998,FALSE,66
"157","RH","classroom","principal_s1","indoor",76,1,401,9.3138,-0.00210896996082463,2.00249592069053e-07,2021.3469,FALSE,400
"158","RH","classroom","principal_s1","indoor",177,1,353,9.98908670279921,-0.0361057499321109,7.67851803932352e-07,337.277374248928,TRUE,352
"159","RH","classroom","principal_s1","indoor",426,401,451,4.1755,-0.0058614965783733,4.21295375484146e-08,101.1491,FALSE,50
"160","RH","classroom","principal_s1","indoor",526,451,651,5.8668,-0.00435918187495756,1.0145531679889e-06,500.8352,FALSE,200
"161","RH","classroom","principal_s1","indoor",529,353,749,1.02580353085965,-0.00312056099091365,3.1929455302014e-06,161.89103877483,TRUE,396
"162","RH","classroom","principal_s1","indoor",881,749,1233,3.9007687297762,-0.00197603961538638,2.24270913722062e-07,896.767823393816,TRUE,484
"163","RH","classroom","principal_s1","indoor",1276,651,1626,6.9577,-0.00195268219986431,1.01007802994868e-06,1682.7254,FALSE,975
"164","RH","classroom","principal_s1","indoor",1277,1233,1365,1.58076112406156,-0.0120653821413686,1.83009893330799e-06,86.9798134137024,TRUE,132
"165","RH","classroom","principal_s1","indoor",1453,1365,1497,0.838669974952254,-0.00375133903170051,5.67943947085169e-08,34.8616703602237,TRUE,132
"166","RH","classroom","principal_s1","indoor",1585,1497,1673,0.959769776802058,-0.00235237144694473,4.25095956167127e-06,76.3872978274107,TRUE,176
"167","RH","classroom","principal_s1","indoor",1717,1673,1805,0.966599231702166,-0.00167382720526659,5.39816628395619e-07,79.6361576239372,TRUE,132
"168","RH","classroom","principal_s1","indoor",1849,1805,1893,0.98946887044226,-0.00606895875020178,8.98348885324171e-07,39.2756036556107,TRUE,88
"169","RH","classroom","principal_s1","indoor",1937,1893,1981,1.1513070420134,-0.00499050232481293,3.28386120415186e-07,46.6795165377411,TRUE,88
