"","participant_id","room_type","area","place_id","environment","type","beta_room_type","case","mean","median","q5","q25","q75","q95","sd"
"131","all",NA,"all","all","indoor","concent","EB-daycare","on",2329.20212489167,2042.55,611.23219,1231.97933333334,3012.71683333333,5182.505,1448.51444148833
"132","all",NA,"all","all","indoor","concent","EB-daycare","redu",56.6303345324795,47.1207283396618,-0.715482212592136,34.667845116357,60.1938721693163,64.9871059329036,71.1197595901472
"133","all",NA,"all","all","outdoor","concent","EB-daycare","off",25551.8235017721,16458.15,3501.26666666667,7620.45,34897.08,79221.6666666667,24097.0895075616
"134","all",NA,"all","all","outdoor","concent","EB-daycare","on",14496.7462227374,9396.99064285714,2981.65416666667,5594.52916666666,17270.4,45376.0171666667,14734.4705658531
"135","all",NA,"all","all","outdoor","concent","EB-daycare","redu",43.2653163805238,42.9037246418513,14.8407005083874,26.5853175774834,50.5104725094478,42.7227183220079,38.8537335132132
"136","all",NA,"all","all","ratio","concent","EB-daycare","off",0.330530157741397,0.219293061348986,0.046742958031522,0.117606811722403,0.432324879114272,0.993441101567624,0.323344897086503
"137","all",NA,"all","all","ratio","concent","EB-daycare","on",0.223190480374543,0.190797908066716,0.0538676078204277,0.1309247,0.2699402,0.5010851,0.155170532688745
"138","all",NA,"all","all","ratio","concent","EB-daycare","redu",32.4750026140838,12.994097080401,-15.2421885326579,-11.3240790074578,37.5607990562464,49.5606635149984,52.0108298949797
"139","all",NA,"all","all","indoor","concent","R-classroom","off",4756.31217994642,4129.98333333333,1881.9325,2968.375,6008.50833333333,8819.1625,3013.29728167468
"140","all",NA,"all","all","indoor","concent","R-classroom","on",3483.04335283452,3166.53333333333,902.830833333333,2004.13333333334,4491.30833333333,7738.98333333333,2039.36592921266
"141","all",NA,"all","all","indoor","concent","R-classroom","redu",26.7700852875102,23.3281813082377,52.0263966251004,32.4838225179321,25.2508595450063,12.2480923405898,32.321117414633
"142","all",NA,"all","all","outdoor","concent","R-classroom","off",NA,NA,NA,NA,NA,NA,NA
"143","all",NA,"all","all","outdoor","concent","R-classroom","on",16283.3570453004,9263.90833333333,3298.6625,6407.70833333333,25538.9166666667,41355.2858333333,12810.614645291
"144","all",NA,"all","all","outdoor","concent","R-classroom","redu",NA,NA,NA,NA,NA,NA,NA
"145","all",NA,"all","all","indoor","concent","R-office","off",4578.63753998049,3571.967,1685.35666666667,2546.417,5652.45,9528.53319999999,3949.58386176818
"146","all",NA,"all","all","indoor","concent","R-office","on",3021.4124247722,2523.6975,423.08125,1094.64583333333,4130.475,7425.4825,2475.41903778861
"147","all",NA,"all","all","indoor","concent","R-office","redu",34.0106658719031,29.3471216279434,74.8966341447014,57.012310500074,26.9259347716477,22.0710854006365,37.3245606518051
"148","all",NA,"all","all","outdoor","concent","R-office","off",11817.7471948006,9701.71666666666,2837.58333333333,6645.25025,14196.385,26966.5975,8738.55315554155
"149","all",NA,"all","all","outdoor","concent","R-office","on",15282.1858087761,13463.02,3945.5264,7323.1165,20811.545,32590.692,9888.39614101367
"150","all",NA,"all","all","outdoor","concent","R-office","redu",-29.3155586836363,-38.7694617619219,-39.0453049837011,-10.2007633196357,-46.5974964753351,-20.8557809341724,-13.1582764904617
"151","all",NA,"all","all","ratio","concent","R-office","off",0.442083599131141,0.3965138,0.187179308087904,0.3164026,0.50130050737596,0.79176726,0.302724423267647
"152","all",NA,"all","all","ratio","concent","R-office","on",0.23461751741918,0.216502,0.11960415,0.18341305,0.2581371,0.42209505,0.110099628103319
"153","all",NA,"all","all","ratio","concent","R-office","redu",46.9291514364498,45.3986216873158,36.1018313285831,42.0317500551512,48.5065153132978,46.6895044384634,63.6304111459229
"154","all","all","all","all","indoor","concent","all","off",5007.28225437567,3811,800.469666666667,2413.3665,6381.93333333333,12610.47,4427.28565721532
"155","all","all","all","all","indoor","concent","all","on",2757.97791343701,2387.183,609.3795,1288.3415,3686.23333333333,6484.195,1967.88193464722
"156","all","all","all","all","indoor","concent","all","redu",44.9206620811734,37.3607189713986,23.8722558298066,46.6164173572476,42.2395512331686,48.5808617759687,55.5510512080899
"157","all","all","all","all","outdoor","concent","all","off",20082.6568114206,11893.3,3276.4781,7119.25,23843.5238095238,69853,20616.555275013
"158","all","all","all","all","outdoor","concent","all","on",14761.4864702548,9855.8,3099.18333333333,5954.21666666667,19370.405,40617.976,13762.8560338936
"159","all","all","all","all","outdoor","concent","all","redu",26.496346529906,17.1314942026183,5.41113846195615,16.3645515094053,18.7603092783505,41.8522096402445,33.2436682544443
"160","all","all","all","all","ratio","concent","all","off",0.375241840881819,0.3250475,0.0597529074978408,0.17186831728039,0.474822931003312,0.912537167797768,0.319943829139577
"161","all","all","all","all","ratio","concent","all","on",0.225868505925217,0.2001398,0.0605949182249096,0.14331920731739,0.266060647730032,0.48391317,0.145941633830827
"162","all","all","all","all","ratio","concent","all","redu",39.8072172883425,38.4275221313808,-1.4091544032384,16.6110371095473,43.9663440078939,46.9705797115277,54.3852324880567
