"","participant_id","environment","pm","hepa","k_val_mean","k_val_median","k_val_min","k_val_max","peak_hgt_mean","peak_hgt_median","peak_hgt_min","peak_hgt_max","peak_wdh_mean","peak_wdh_median","peak_wdh_min","peak_wdh_max","total_plume_area","n","total_exposure"
"36","308","indoor","pm10",TRUE,-0.0688865949647405,-0.0590208907664029,-0.28487496349314,-0.00461010653114906,101.504088235294,63.3665,13.134,479.657,101.705882352941,72.5,20,361,53680.874,34,122800.786
"37","303","indoor","pm1",FALSE,-0.0114140568696269,-0.0103760653459867,-0.0313884395266307,-0.00387273780829519,36.23148,47.912,5.745,49.937,324.96,309,24,777,77449.977,25,128740.796
"38","303","indoor","pm1",TRUE,-0.0140871361885855,-0.0101865645173407,-0.0418954091922397,-0.00104431218147305,34.1583333333333,37.4265,7.585,49.632,490.166666666667,400,120,1347,41799.447,12,56695.181
"39","303","indoor","pm25",FALSE,-0.0108911527492188,-0.0106144639915969,-0.0207763726734916,-0.00413480381778172,54.73596,61.754,6.711,97.038,359.4,343,61,770,113213.207,25,175038.618
"40","303","indoor","pm25",TRUE,-0.0145033708008112,-0.011253771557058,-0.0429501601242614,-0.00127534693671212,56.6593333333333,70.9405,8.437,97.728,484.75,406.5,117,1327,65002.362,12,79494.137
"41","303","indoor","pm10",FALSE,-0.0356455947113659,-0.0191493402052609,-0.194051328352868,-0.00200044185489171,205.371277777778,109.04,31.935,992.354,244.972222222222,280.5,21,678,267329.993,36,417684.374
"42","303","indoor","pm10",TRUE,-0.0586970112112799,-0.0189558214022136,-0.543072451180276,-0.00187559002383343,179.783142857143,127.636,28.999,566.04,353.857142857143,323,24,1030,110646.764,14,155894.56
"43","500","indoor","pm1",FALSE,-0.014525188126312,-0.0125601031278479,-0.0393717048688345,-0.000206276784189034,16.36375,7.274,5.085,48.202,148.458333333333,112,39,592,15309.499,24,71500.589
"44","500","indoor","pm1",TRUE,-0.0263843962233572,-0.00836895161659052,-0.17076893130874,0.000600782829272757,16.0436666666667,8.1485,3.131,48.849,359.805555555556,301,46,1586,32571.33,36,57753.898
"45","500","indoor","pm25",FALSE,-0.0198234062150228,-0.0181254864674682,-0.0392255307868336,-0.00331512441820582,24.2024761904762,11.342,6.396,71.219,124.047619047619,113,45,326,18023.82,21,80737.17
"46","500","indoor","pm25",TRUE,-0.0309038345111013,-0.0238344730761722,-0.185779069843306,-0.00047409386544694,20.4671627906977,7.96,3.663,91.898,268.581395348837,156,43,1358,34983.267,43,68182.282
"47","500","indoor","pm10",FALSE,-0.10429036790613,-0.060097915657408,-0.371002788296683,-0.00684665067628583,61.2994615384615,55.0915,13.448,150.62,64.8846153846154,39,22,159,21447.007,26,121913.527
"48","500","indoor","pm10",TRUE,-0.218141610309148,-0.068876384096565,-2.66144264232835,-0.000510499518896502,70.7089772727273,40.19,8.174,379.863,113.386363636364,60.5,22,629,41886.746,44,119966.452
"49","510","indoor","pm1",FALSE,-0.00967826384424886,-0.00745069823527681,-0.0339562797387266,-0.00167773116414458,17.877,12.591,5.103,49.841,262.925925925926,219,28,1118,43747.698,27,95266.801
"50","510","indoor","pm1",TRUE,-0.0119177156757892,-0.0100255004332809,-0.0403831228694836,-0.000383502067178526,7.22258333333333,4.1995,3.239,25.093,200.583333333333,201,30,446,4977.1,12,16292.588
"51","510","indoor","pm25",FALSE,-0.00782104182625268,-0.00601540455023406,-0.0250969659918014,-0.00257780067985931,22.7042857142857,15.0555,6.228,89.049,267.535714285714,182,44,1039,51364.216,28,111916.785
"52","510","indoor","pm25",TRUE,-0.00981079886738156,-0.00549895049913668,-0.042843308774261,0.000390406890809496,10.6289333333333,4.967,3.616,58.452,196.8,190,38,446,8496.307,15,22012.29
"53","510","indoor","pm10",FALSE,-0.0268299207561904,-0.0165189488746178,-0.170305482387568,-0.0014947117756065,75.2484857142857,47.378,15.542,580.47,181.085714285714,155,21,769,88120.124,35,199599.359
"54","510","indoor","pm10",TRUE,-0.0352363907560358,-0.0225729189456055,-0.14972820110648,-0.000630779516620503,81.5526,33.931,8.475,852.312,128.95,85,20,445,48225.902,20,60595.106
"55","511","indoor","pm1",FALSE,-0.258041257128421,-0.0188804310194799,-2.37814328171808,0.00390066142646427,25.793347826087,24.8095,5.181,49.995,186.760869565217,72,20,786,63676.663,46,133233.077
"56","511","indoor","pm1",TRUE,-0.110898181089468,-0.039758954601563,-0.636101144297391,0.00089177843353778,22.1917307692308,17.4725,3.795,49.176,90.3461538461538,58,20,467,7355.87,26,36205.453
"57","511","indoor","pm25",FALSE,-0.247970861380073,-0.0139443795105604,-2.35351561280071,0.00391769278047392,30.4810697674419,29.283,5.977,73.776,201.325581395349,99,20,721,75648.596,43,146475.376
"58","511","indoor","pm25",TRUE,-0.105387017145033,-0.0358670086137353,-0.623683274082743,0.00105248315166098,23.7671111111111,21.011,4.507,49.333,90.2222222222222,76,21,277,9782.272,27,40829.756
"59","511","indoor","pm10",FALSE,-0.155557687334414,-0.0214473955335969,-1.37672643659654,0.00743537368451245,99.4673783783784,45.343,11.162,919.801,168.837837837838,105,21,560,93453.705,37,193151.461
"60","511","indoor","pm10",TRUE,-0.122910932115925,-0.0805958324592056,-0.385334914193221,-0.0230360842953635,42.8763333333333,42.5915,11.933,93,61.2083333333333,43.5,22,140,12805.922,24,63948.238
"61","400","indoor","pm1",FALSE,-0.0165170387693881,-0.0147335171195164,-0.0587981794795972,-0.00251058966594609,24.5118125,14.2955,5.15,49.931,233.375,178.5,29,762,22673.424,16,60116.105
"62","400","indoor","pm1",TRUE,-0.0259902252671196,-0.0257464981876745,-0.0582479237791527,-0.00128546400784389,21.75356,10.309,3.206,49.907,250.84,184,22,926,22189.857,25,49475.69
"63","400","indoor","pm25",FALSE,-0.0149936561306157,-0.0138176283324999,-0.0494922913622941,-0.00391032211077367,35.2955333333333,23.547,9.244,82.169,259.266666666667,175,39,770,28693.183,15,72239.12
"64","400","indoor","pm25",TRUE,-0.0243706026745809,-0.0237119946892055,-0.0560679450255051,-0.00318547407009933,29.3199130434783,22.245,4.118,85.617,292.391304347826,269,33,966,25387.058,23,64654.102
"65","400","indoor","pm10",FALSE,-0.0486663792327519,-0.0314022042186504,-0.198203593606137,-0.0022334596221125,76.1133333333333,50.86,18.4,244.271,175.833333333333,130,20,678,35808.851,18,104105.933
"66","400","indoor","pm10",TRUE,-0.0998813580633882,-0.0372006837845789,-1.41137027227406,-0.00760772907612787,77.8060714285714,51.348,11.201,291.676,170.142857142857,107.5,21,937,44787.183,28,119143.175
"67","103","indoor","pm1",FALSE,-0.0104319627645763,-0.00824226313582076,-0.0306306040086603,-0.000593586029123852,28.9672380952381,28.955,5.121,49.967,435.380952380952,361,27,1668,77607.012,21,134549.384
"68","103","indoor","pm1",TRUE,-0.0125631010527867,-0.00974994021517024,-0.0435791563279724,0.0249614978065586,26.076,27.5045,3.075,49.871,529.363636363636,372.5,22,1927,69491.9,22,108442.912
"69","103","indoor","pm25",FALSE,-0.00989091123687869,-0.00778899066751003,-0.0415015314376622,-0.00109596992215416,32.2183333333333,29.2055,6.651,74.238,385.041666666667,296.5,22,1662,82995.146,24,149361.241
"70","103","indoor","pm25",TRUE,-0.00753694161353481,-0.00830000090974048,-0.0264354045957322,0.0251435107321978,30.1735454545455,22.4165,3.98,97.142,517,347.5,34,2217,90575.604,22,124091.955
"71","103","indoor","pm10",FALSE,-0.0359845874919643,-0.0104924449283781,-0.515533040379634,-0.00155940642481423,80.3873793103448,45.9,12.081,615.913,264.620689655172,183,20,891,112270.42,29,198037.545
"72","103","indoor","pm10",TRUE,-0.0804010010283525,-0.0128863250309987,-1.22709954521179,0.0219638382424571,109.7735,47.7885,11.442,922.226,364.208333333333,340.5,23,1448,112379.94,24,188033.364
"73","503","indoor","pm1",FALSE,-0.0124659815271451,-0.0116665836566759,-0.046768533644205,-0.000222792060093842,25.7116285714286,20.805,5.109,49.857,453.057142857143,328,35,2197,89337.504,35,164490.381
"74","503","indoor","pm1",TRUE,-0.0232131679865499,-0.0236491417833793,-0.0400695097337211,-0.00538076883186495,26.23790625,25.227,3.33,49.847,269.28125,168,39,1086,35400.413,32,71849.804
"75","503","indoor","pm25",FALSE,-0.0132261577686563,-0.0118823655444614,-0.0483199004193535,-0.00025938003142483,34.0484545454545,40.614,6.112,78.527,410.424242424242,276,35,2197,115414.207,33,181284.528
"76","503","indoor","pm25",TRUE,-0.0236512030169912,-0.0244773210221978,-0.0727107221769609,-0.00537927619390333,31.3473548387097,30.687,3.981,83.03,259.322580645161,217,64,1080,39848.403,31,82625.115
"77","503","indoor","pm10",FALSE,-0.0576130102773992,-0.0231018775026611,-1.23203907619934,0.000338162595436213,88.264976744186,57.34,11.52,673.193,246.255813953488,143,20,1559,138544.047,43,259042.425
"78","503","indoor","pm10",TRUE,-0.130494110612437,-0.0304223084851812,-2.5005852479826,-0.00298821081761199,59.4993888888889,52.08,8.999,376.884,145.722222222222,127.5,24,458,51591.281,36,120256.937
"79","207","indoor","pm1",FALSE,-0.0108780550587782,-0.0077357485991128,-0.0782564340209443,-0.000845226407028858,27.31525,16.641,5.645,49.991,560.9,370.5,28,2631,66994.799,20,109390.923
"80","207","indoor","pm1",TRUE,-0.0314694885488411,-0.0291626522798545,-0.0914516435258385,-0.00195442627773242,12.6507142857143,5.606,3.15,49.233,128.761904761905,74,21,868,9890.179,21,22618.665
"81","207","indoor","pm25",FALSE,-0.0125016974755825,-0.00792624537353856,-0.0776592005311393,-0.0015003979652339,41.7405263157895,20.395,7.644,97.84,514.473684210526,296,26,2595,82788.398,19,132322.524
"82","207","indoor","pm25",TRUE,-0.0280697962740595,-0.0308977030993898,-0.0513809734841321,-0.000774105958926609,15.7585714285714,6.667,3.646,76.677,126.571428571429,72,26,862,12494.349,21,27512.461
"83","207","indoor","pm10",FALSE,-0.0205071800715073,-0.0152330418080818,-0.111047908208637,-0.0061985102651916,124.711148148148,49.219,13.988,753.867,248.814814814815,205,24,682,113786.078,27,196731.361
"84","207","indoor","pm10",TRUE,-0.203742222460447,-0.0883201852063863,-1.25790432686586,-0.000529878817589108,90.7823529411765,36.961,13.552,451.434,108.058823529412,53,22,716,20207.66,17,53043.075
"85","501","indoor","pm1",FALSE,-0.0295846528342099,-0.0243990621180796,-0.0740019685081484,-0.00373382442398312,26.5872258064516,27.486,5.773,49.928,116.064516129032,103,26,410,25716.689,31,64212.704
