timestamp,timestamp_local,sn,sample_rh,sample_temp,sample_pres,lat,lon,device_state,pm1,pm25,pm10
2023-03-01T21:47:58Z,2023-03-01T16:47:58Z,MOD-PM-00231,53.34,5.54,0.0,42.3161,-71.078,ACTIVE,2.708,3.823,8.326
2023-03-01T21:46:58Z,2023-03-01T16:46:58Z,MOD-PM-00231,53.59,5.55,0.0,42.3161,-71.078,ACTIVE,2.985,4.293,16.711
2023-03-01T21:45:58Z,2023-03-01T16:45:58Z,MOD-PM-00231,53.48,5.56,0.0,42.3161,-71.078,ACTIVE,2.893,3.86,13.61
2023-03-01T21:44:58Z,2023-03-01T16:44:58Z,MOD-PM-00231,52.96,5.58,0.0,42.3161,-71.078,ACTIVE,2.311,3.533,5.104
2023-03-01T21:43:58Z,2023-03-01T16:43:58Z,MOD-PM-00231,53.31,5.57,0.0,42.3161,-71.078,ACTIVE,2.342,3.507,6.485
2023-03-01T21:42:58Z,2023-03-01T16:42:58Z,MOD-PM-00231,53.46,5.59,0.0,42.3161,-71.078,ACTIVE,2.576,3.923,23.31
2023-03-01T21:41:58Z,2023-03-01T16:41:58Z,MOD-PM-00231,53.1,5.6,0.0,42.3161,-71.078,ACTIVE,2.702,3.775,20.049
2023-03-01T21:40:58Z,2023-03-01T16:40:58Z,MOD-PM-00231,53.12,5.62,0.0,42.3161,-71.078,ACTIVE,2.795,4.021,35.564
2023-03-01T21:39:58Z,2023-03-01T16:39:58Z,MOD-PM-00231,53.25,5.62,0.0,42.3161,-71.078,ACTIVE,2.55,3.573,25.157
2023-03-01T21:38:58Z,2023-03-01T16:38:58Z,MOD-PM-00231,53.1,5.64,0.0,42.3161,-71.078,ACTIVE,2.492,3.409,12.22
2023-03-01T21:37:58Z,2023-03-01T16:37:58Z,MOD-PM-00231,52.82,5.66,0.0,42.3161,-71.078,ACTIVE,3.736,4.993,7.552
2023-03-01T21:36:58Z,2023-03-01T16:36:58Z,MOD-PM-00231,52.7,5.68,0.0,42.3161,-71.078,ACTIVE,2.88,3.495,13.632
2023-03-01T21:35:58Z,2023-03-01T16:35:58Z,MOD-PM-00231,52.73,5.68,0.0,42.3161,-71.078,ACTIVE,2.787,3.594,47.786
