"","var1","var2","cor","p","case","participant_id"
"318","pm10_ratio","pm10_indoor",0.74,0,"hepa","41181"
"319","pm1num_indoor","pm10_indoor",0.36,4.3e-298,"hepa","41181"
"320","pm1num_outdoor","pm10_indoor",-0.12,1.92e-30,"hepa","41181"
"321","pm1num_ratio","pm10_indoor",0.33,3.15e-254,"hepa","41181"
"322","temp_indoor","pm10_indoor",0.11,2.43e-29,"hepa","41181"
"323","temp_outdoor","pm10_indoor",0.14,7.56e-44,"hepa","41181"
"324","pm1_indoor","pm10_outdoor",-0.065,1.7e-10,"hepa","41181"
"325","pm1_outdoor","pm10_outdoor",-0.14,2.86e-41,"hepa","41181"
"326","pm1_ratio","pm10_outdoor",-0.031,0.0024,"hepa","41181"
"327","pm25_indoor","pm10_outdoor",-0.073,4.98e-13,"hepa","41181"
"328","pm25_outdoor","pm10_outdoor",0.8,0,"hepa","41181"
"329","pm25_ratio","pm10_outdoor",-0.1,6.98e-24,"hepa","41181"
"330","pm10_indoor","pm10_outdoor",-0.065,1.65e-10,"hepa","41181"
"331","pm10_outdoor","pm10_outdoor",1,0,"hepa","41181"
"332","pm10_ratio","pm10_outdoor",-0.1,1.27e-24,"hepa","41181"
"333","pm1num_indoor","pm10_outdoor",-0.046,4.25e-06,"hepa","41181"
"334","pm1num_outdoor","pm10_outdoor",0.13,9.64e-41,"hepa","41181"
"335","pm1num_ratio","pm10_outdoor",-0.057,1.75e-08,"hepa","41181"
"336","temp_indoor","pm10_outdoor",0.17,3.95e-61,"hepa","41181"
"337","temp_outdoor","pm10_outdoor",0.23,3.26e-114,"hepa","41181"
"338","pm1_indoor","pm10_ratio",0.16,7.32e-56,"hepa","41181"
"339","pm1_outdoor","pm10_ratio",-0.069,8.44e-12,"hepa","41181"
"340","pm1_ratio","pm10_ratio",0.15,5.86e-52,"hepa","41181"
"341","pm25_indoor","pm10_ratio",0.45,0,"hepa","41181"
"342","pm25_outdoor","pm10_ratio",-0.12,6.43e-31,"hepa","41181"
"343","pm25_ratio","pm10_ratio",0.51,0,"hepa","41181"
"344","pm10_indoor","pm10_ratio",0.74,0,"hepa","41181"
"345","pm10_outdoor","pm10_ratio",-0.1,1.27e-24,"hepa","41181"
"346","pm10_ratio","pm10_ratio",1,0,"hepa","41181"
"347","pm1num_indoor","pm10_ratio",0.19,2.28e-76,"hepa","41181"
"348","pm1num_outdoor","pm10_ratio",-0.084,6.5e-17,"hepa","41181"
"349","pm1num_ratio","pm10_ratio",0.17,5.42e-65,"hepa","41181"
"350","temp_indoor","pm10_ratio",0.028,0.00558,"hepa","41181"
"351","temp_outdoor","pm10_ratio",0.074,2.8e-13,"hepa","41181"
"352","pm1_indoor","pm1num_indoor",0.89,0,"hepa","41181"
"353","pm1_outdoor","pm1num_indoor",-0.061,1.19e-09,"hepa","41181"
"354","pm1_ratio","pm1num_indoor",0.9,0,"hepa","41181"
"355","pm25_indoor","pm1num_indoor",0.87,0,"hepa","41181"
"356","pm25_outdoor","pm1num_indoor",-0.1,5.32e-23,"hepa","41181"
"357","pm25_ratio","pm1num_indoor",0.84,0,"hepa","41181"
"358","pm10_indoor","pm1num_indoor",0.36,4.3e-298,"hepa","41181"
"359","pm10_outdoor","pm1num_indoor",-0.046,4.25e-06,"hepa","41181"
"360","pm10_ratio","pm1num_indoor",0.19,2.28e-76,"hepa","41181"
"361","pm1num_indoor","pm1num_indoor",1,0,"hepa","41181"
"362","pm1num_outdoor","pm1num_indoor",-0.1,1.72e-23,"hepa","41181"
"363","pm1num_ratio","pm1num_indoor",0.95,0,"hepa","41181"
"364","temp_indoor","pm1num_indoor",0.17,1.3e-62,"hepa","41181"
"365","temp_outdoor","pm1num_indoor",0.054,1.16e-07,"hepa","41181"
"366","pm1_indoor","pm1num_outdoor",-0.059,5.11e-09,"hepa","41181"
"367","pm1_outdoor","pm1num_outdoor",0.68,0,"hepa","41181"
"368","pm1_ratio","pm1num_outdoor",-0.12,2.87e-33,"hepa","41181"
