"","peak_idx","valley_idx","peak_hgt","k_val","conv_tol","case","participant","particle"
"2310",290,316,62.4977777777778,0.0972867281422403,1.71837076767367e-06,"sham","44241","2.5"
"245",319,343,22.8872,0.118580630277867,8.84563082259374e-07,"sham","44241","2.5"
"255",406,436,10.786,0.125236400078923,8.7436294223526e-07,"sham","44241","2.5"
"265",469,502,15.0641,0.0990348307700153,1.24963737790265e-06,"sham","44241","2.5"
"274",561,599,16.8983,0.0947749064382803,1.56748756819141e-08,"sham","44241","2.5"
"284",620,656,30.127,0.156144476475603,7.82184984179726e-07,"sham","44241","2.5"
"294",692,737,17.4923,0.0645191634381437,1.43097252802086e-06,"sham","44241","2.5"
"304",885,939,55.3553,0.0256424795013851,4.46833579415969e-07,"sham","44241","2.5"
"3111",1031,1045,9.8886,0.128227591707301,1.05639224341863e-07,"sham","44241","2.5"
"3210",1287,1294,61.6613333333333,0.799928972497273,4.15269885655844e-06,"sham","44241","2.5"
"333",1471,1494,68.0993,0.113773931295661,2.17275977657713e-06,"sham","44241","2.5"
"342",1553,1590,12.7477,0.0891461230092345,3.80615489654962e-07,"sham","44241","2.5"
"352",1625,1665,80.485,0.259145576108641,1.43007631652164e-07,"sham","44241","2.5"
"362",1696,1712,13.2535,0.177339300821288,4.54978581968396e-06,"sham","44241","2.5"
"372",1910,1959,19.4524,0.123312474588565,8.47868818087981e-07,"sham","44241","2.5"
"382",1989,2009,9.6426,0.293475636731457,3.8989436223598e-06,"sham","44241","2.5"
"392",2053,2068,17.5001,0.2240544682189,3.86530692621988e-06,"sham","44241","2.5"
"402",2159,2163,8.4998,1.97664975505404,3.17988881415334e-07,"sham","44241","2.5"
"4110",2305,2323,58.6505,0.623807300595319,3.47089155872681e-06,"sham","44241","2.5"
"4210",2483,2505,45.0448,0.271678288513139,2.77390234684284e-06,"sham","44241","2.5"
"432",2629,2681,44.5556,0.0617217255969743,1.35066164386135e-06,"sham","44241","2.5"
"442",46,53,85.3646,1.18221315285037,1.01747814241351e-06,"sham","44241","10"
"451",154,200,61.7497,0.0999985453922112,6.93922410243082e-07,"sham","44241","10"
"461",206,245,242.9876,0.115658081172301,4.24140945742858e-07,"sham","44241","10"
"471",290,331,559.681444444444,0.320239070989994,1.41102874946339e-06,"sham","44241","10"
"481",468,478,34.946,0.337483738061465,5.51476728445214e-06,"sham","44241","10"
"491",560,582,26.1905555555556,0.105475376618389,1.18263494350211e-06,"sham","44241","10"
"501",613,636,252.6575,0.220502643237586,1.50092944080194e-06,"sham","44241","10"
